Image Name,Original name,Stimtype,Task,Sim_Category,Sim_Score,Valence_Category,Valence_Score,Arousal_Category,Arousal_Score,MEMORABILITY,ABBA Encoding Valence score,VALENCE_OVERALL,OVERALL_VALENCE_CATEGORY,Set
1004_A_H,10018a.jpg,Baseline Lure,Encoding,High Similarity,4.640453989,Negative,2.333609445,Somewhat arousing,5.813441685,0.663457155,2.375168789,2.34469541,Negative,B
1004_B_H,10018c.jpg,Lure,Retrieval,High Similarity,4.640453989,Negative,2.333609445,Somewhat arousing,5.813441685,0.628822803,,2.34469541,Negative,B
1005_A_L,10019d.jpg,Baseline Lure,Encoding,Low Similarity,4.579568917,Negative,2.799353966,Somewhat arousing,5.780482701,0.796818137,2.886488971,2.87328489,Negative,A
1005_B_L,10019f.jpg,Lure,Retrieval,Low Similarity,4.579568917,Negative,2.799353966,Somewhat arousing,5.780482701,0.789104164,,2.87328489,Negative,A
1007_A_H,10023a.jpg,Baseline Lure,Encoding,High Similarity,4.718840006,Negative,2.287466867,Somewhat arousing,5.61151123,0.675794005,2.320992868,2.303118209,Negative,B
1007_B_H,10023b.jpg,Lure,Retrieval,High Similarity,4.718840006,Negative,2.287466867,Somewhat arousing,5.61151123,0.68667841,,2.303118209,Negative,B
1008_A_L,10025d.jpg,Baseline Lure,Encoding,Low Similarity,3.456239898,Negative,1.821350098,Very arousing,6.64239502,0.760003984,1.745190503,1.768182079,Negative,B
1008_B_L,10025f.jpg,Lure,Retrieval,Low Similarity,3.456239898,Negative,1.821350098,Very arousing,6.64239502,0.940987825,,1.768182079,Negative,B
1009_A_H,10026a.jpg,Baseline Lure,Encoding,High Similarity,4.984674944,Negative,3.294705861,Somewhat arousing,4.693332373,0.70193845,3.064140982,3.123167271,Negative,B
1009_B_H,10026c.jpg,Lure,Retrieval,High Similarity,4.984674944,Negative,3.294705861,Somewhat arousing,4.693332373,0.731404841,,3.123167271,Negative,B
1010_A_H,10027a.jpg,Baseline Lure,Encoding,High Similarity,5.498057774,Negative,3.51422091,Somewhat arousing,3.748753139,0.745868504,3.170934606,3.262015396,Negative,A
1010_B_H,10027c.jpg,Lure,Retrieval,High Similarity,5.498057774,Negative,3.51422091,Somewhat arousing,3.748753139,0.834870458,,3.262015396,Negative,A
1011_A_H,10029a.jpg,Baseline Lure,Encoding,High Similarity,5.091550555,Negative,2.750972062,Somewhat arousing,5.631731306,0.602109194,2.488385172,2.564311007,Negative,A
1011_B_H,10029c.jpg,Lure,Retrieval,High Similarity,5.091550555,Negative,2.750972062,Somewhat arousing,5.631731306,0.605529189,,2.564311007,Negative,A
306E,306E,Baseline Lure,Encoding,High Similarity,5.126953125,Negative,2.669989224,Somewhat arousing,6.880310059,0.709,,,,A
306D,306D,Lure,Retrieval,High Similarity,5.126953125,Negative,2.669989224,,5.768790409,0.713,,,,A
1017_A_H,10035a.jpg,Baseline Lure,Encoding,High Similarity,5.656515517,Negative,3.417994908,Somewhat arousing,3.943062356,0.844135642,3.262708333,3.283780171,Negative,A
1017_B_H,10035c.jpg,Lure,Retrieval,High Similarity,5.656515517,Negative,3.417994908,Somewhat arousing,3.943062356,0.789908409,,3.283780171,Negative,A
1024_A_H,10043a.jpg,Baseline Lure,Encoding,High Similarity,4.59891183,Negative,3.632749496,Somewhat arousing,4.143790109,0.710652888,3.56604456,3.577876072,Negative,A
1024_B_H,10043c.jpg,Lure,Retrieval,High Similarity,4.59891183,Negative,3.632749496,Somewhat arousing,4.143790109,0.92650485,,3.577876072,Negative,A
1026_A_L,10047a.jpg,Baseline Lure,Encoding,Low Similarity,4.29953692,Negative,3.554750504,Somewhat arousing,4.002720424,0.845687687,3.12046131,3.246799045,Negative,B
1026_B_L,10047c.jpg,Lure,Retrieval,Low Similarity,4.29953692,Negative,3.554750504,Somewhat arousing,4.002720424,0.819871187,,3.246799045,Negative,B
351A.jpg,351A.jpg,Baseline Lure,Encoding,Low Similarity,4.51370555,Negative,3.655037716,Somewhat arousing,4.341325431,0.774,,,,A
351B.jpg,351B.jpg,Lure,Retrieval,Low Similarity,4.51370555,Negative,4.655037716,Somewhat arousing,5.341325431,0.759,,,,A
359a.jpg,359a.jpg,Baseline Lure,Encoding,High Similarity,5.021972656,Negative,2.501144935,Somewhat arousing,5.265066964,0.786,,,,A
359B.jpg,359B.jpg,Lure,Retrieval,High Similarity,5.021972656,Negative,3.501144935,Somewhat arousing,6.265066964,0.819,,,,A
320D.jpg,320D.jpg,Baseline Lure,Encoding,Low Similarity,4.154313712,Negative,3.934100116,Somewhat arousing,5.332367996,0.906,,,,A
320F.jpg,320F.jpg,Lure,Retrieval,Low Similarity,4.154313712,Negative,4.934100116,Somewhat arousing,6.332367996,0.875,,,,A
1055_A_H,347A.jpg,Baseline Lure,Encoding,High Similarity,4.717773438,Negative,1.609172953,Very arousing,7.259900323,0.900267243,2.272093798,2.082675971,Negative,A
1055_B_L,347B.jpg,Lure,Retrieval,High Similarity,4.717773438,Negative,1.609172953,Very arousing,7.259900323,0.683344424,,2.082675971,Negative,A
2001_A_L,10021a.jpg,Baseline Lure,Encoding,Low Similarity,4.47114999,Neutral,4.5234375,Not arousing,2.955871582,0.821299911,3.775280632,3.997617102,Negative,A
2001_B_L,10021c.jpg,Lure,Retrieval,Low Similarity,4.47114999,Neutral,4.5234375,Not arousing,2.955871582,0.689959884,,3.997617102,Negative,A
2002_A_H,10024a.jpg,Baseline Lure,Encoding,High Similarity,4.846960885,Neutral,4.463140779,Somewhat arousing,5.257847377,0.916022182,3.713541667,3.939424407,Negative,B
2002_B_H,10024c.jpg,Lure,Retrieval,High Similarity,4.846960885,Neutral,4.463140779,Somewhat arousing,5.257847377,0.822508097,,3.939424407,Negative,B
2003_A_H,10028a.jpg,Baseline Lure,Encoding,High Similarity,4.657747541,Neutral,4.306668527,Somewhat arousing,3.622070313,0.918781877,4.679186228,4.555021391,Neutral,A
2003_B_H,10028b.jpg,Lure,Retrieval,High Similarity,4.657747541,Neutral,4.306668527,Somewhat arousing,3.622070313,0.903097808,,4.555021391,Neutral,A
2004_A_H,10046a.jpg,Baseline Lure,Encoding,High Similarity,4.911113194,Neutral,4.084353399,Somewhat arousing,4.946001325,0.776099622,3.383704668,3.585226278,Negative,A
2004_B_H,10046b.jpg,Lure,Retrieval,High Similarity,4.911113194,Neutral,4.084353399,Somewhat arousing,4.946001325,0.80997014,,3.585226278,Negative,A
2006_A_L,128D.jpg,Baseline Lure,Encoding,Low Similarity,4.027023842,Neutral,5.824690194,Somewhat arousing,3.671538254,0.791145563,6.378912363,6.214914656,Positive,B
2006_B_L,128F.jpg,Lure,Retrieval,Low Similarity,4.027023842,Neutral,5.824690194,Somewhat arousing,3.671538254,0.769585788,,6.214914656,Positive,B
2011_A_L,20020a.jpg,Baseline Lure,Encoding,Low Similarity,3.854228428,Neutral,4.636979767,Not arousing,2.562473842,0.779321074,4.484230324,4.530203457,Neutral,B
2011_B_L,20020b.jpg,Lure,Retrieval,Low Similarity,3.854228428,Neutral,4.636979767,Not arousing,2.562473842,0.773274302,,4.530203457,Neutral,B
2014_A_H,20024a.jpg,Baseline Lure,Encoding,High Similarity,4.934759325,Neutral,5.040169571,Not arousing,1.957868304,0.902919292,5.056071697,5.051376783,Neutral,A
2014_B_H,20024b.jpg,Lure,Retrieval,High Similarity,4.934759325,Neutral,5.040169571,Not arousing,1.957868304,0.856999636,,5.051376783,Neutral,A
2015_A_L,20025a.jpg,Baseline Lure,Encoding,Low Similarity,4.018575614,Neutral,4.921019945,Not arousing,2.58694022,0.913636386,5.044945988,5.007647858,Neutral,A
2015_B_L,20025b.jpg,Lure,Retrieval,Low Similarity,4.018575614,Neutral,4.921019945,Not arousing,2.58694022,0.908227563,,5.007647858,Neutral,A
235A.jpg,235A.jpg,Baseline Lure,Encoding,Low Similarity,4.253064386,Neutral,5.027488426,Somewhat arousing,3.464237608,0.761,,,,B
235B.jpg,235B.jpg,Lure,Retrieval,Low Similarity,4.253064386,Neutral,5.027488426,Somewhat arousing,3.464237608,0.717,,,,B
2018_A_L,20028a.jpg,Baseline Lure,Encoding,Low Similarity,2.733809989,Neutral,5.022627448,Not arousing,1.722377232,0.886150658,5.076951952,5.06133206,Neutral,B
2018_B_L,20028b.jpg,Lure,Retrieval,Low Similarity,2.733809989,Neutral,5.022627448,Not arousing,1.722377232,0.879079401,,5.06133206,Neutral,B
2019_A_L,20029a.jpg,Baseline Lure,Encoding,Low Similarity,3.880602155,Neutral,4.604920336,Somewhat arousing,3.165919713,0.765757799,4.495133998,4.529646978,Neutral,B
2019_B_L,20029b.jpg,Lure,Retrieval,Low Similarity,3.880602155,Neutral,4.604920336,Somewhat arousing,3.165919713,0.893167794,,4.529646978,Neutral,B
20022a.jpg,20022a.jpg,Baseline Lure,Encoding,High Similarity,5.125451224,Neutral,4.928152902,Not arousing,2.227015904,0.758,,,,B
20022b.jpg,20022b.jpg,Lure,Retrieval,High Similarity,5.125451224,Neutral,5.928152902,Not arousing,3.227015904,0.672,,,,B
2021_A_H,20032a.jpg,Baseline Lure,Encoding,High Similarity,4.905829293,Neutral,5.10420445,Not arousing,1.884748186,0.891977072,5.374421296,5.287861904,Neutral,B
